country,year,attacking_midfield_market_value,central_midfield_market_value,centre-back_market_value,centre-forward_market_value,defensive_midfield_market_value,goalkeeper_market_value,left_winger_market_value,left-back_market_value,right_winger_market_value,right-back_market_value,attacking_midfield_age,central_midfield_age,centre-back_age,centre-forward_age,defensive_midfield_age,goalkeeper_age,left_winger_age,left-back_age,right_winger_age,right-back_age,second_striker_market_value,second_striker_age,left_midfield_market_value,right_midfield_market_value,left_midfield_age,right_midfield_age
Costa Rica,2025,383333.3333333333,333333.3333333333,845454.5454545454,4831250,466666.6666666667,533333.3333333334,697222.2222222222,262500,575000,206250,23,26.833333333333332,26.09090909090909,24.5,23,28,23.444444444444443,28.5,22.5,23.25,500000,32,NA,600000,NA,23
Germany,2018,33750000,41750000,39375000,30500000,39500000,37000000,35000000,15000000,100000000,NA,28.25,28.25,25.5,27.333333333333332,26.5,28.75,25,27.333333333333332,23,NA,47500000,26,NA,NA,NA,NA
Germany,2019,45000000,34666666.666666664,28300000,45333333.333333336,37000000,28300000,30000000,17500000,100000000,NA,25.5,24,23.4,21,25.5,28.4,25,26.5,22,NA,40000000,23,NA,NA,NA,NA
Germany,2020,18000000,32571428.57142857,22727272.727272727,50000000,90000000,12875000,20000000,19000000,60000000,18500000,26.5,26.285714285714285,25.727272727272727,24,26,31.25,27,27,25,23.5,70000000,25,NA,NA,NA,NA
Germany,2021,22666666.666666668,34166666.666666664,25545454.545454547,51833333.333333336,85000000,33250000,5000000,13200000,39500000,11000000,24.166666666666668,26.333333333333332,25.636363636363637,22.333333333333332,25,30,27,25.5,21,22,62500000,28,NA,NA,NA,NA
Germany,2022,43750000,22750000,24375000,27000000,33333333.333333332,13625000,6000000,12166666.666666666,52500000,15000000,27,28.75,26.25,24.6,26.333333333333332,33.25,29,27.666666666666668,24,26,33500000,30,NA,NA,NA,NA
Germany,2023,44800000,21700000,21050000,19483333.333333332,45500000,10800000,8000000,18000000,70000000,8400000,24.8,27.8,26.8,26.833333333333332,27.5,31,22.5,27,26,24.666666666666668,41500000,30,NA,NA,NA,NA
Germany,2024,64750000,15000000,20833333.333333332,18166666.666666668,25500000,11428571.42857143,21000000,12333333.333333334,42250000,20000000,21.5,28.4,27.333333333333332,25.5,24.5,31.714285714285715,23.5,26.666666666666668,24.5,26,27500000,31,NA,NA,NA,NA
Germany,2025,95666666.66666667,15000000,22777777.777777776,19583333.333333332,36750000,8300000,11500000,15250000,33333333.333333332,7000000,21.333333333333332,25.166666666666668,26.11111111111111,26,25.5,30.4,20.5,26,24.333333333333332,26,35000000,29,NA,NA,NA,NA
Brazil,2018,59250000,11200000,10025000,23000000,20000000,12750000,15833333.333333334,24875000,30000000,5500000,23.5,24.8,27.3,23,25.8,26.75,26.333333333333332,28.5,24,31,NA,NA,NA,NA,NA,NA
Brazil,2019,111666666.66666667,17516666.666666668,18375000,36833333.333333336,43750000,22166666.666666668,31750000,17280000,17500000,2762500,24.333333333333332,21,27.125,23.5,27.75,27,23.75,25.6,19,26.25,NA,NA,NA,NA,NA,NA
Brazil,2020,67750000,36666666.666666664,24500000,41550000,63333333.333333336,41625000,42500000,22600000,50000000,NA,26.5,22,28.333333333333332,24,27,28.5,21,23.333333333333332,18,NA,NA,NA,NA,NA,NA,NA
Brazil,2021,53625000,18280000,19530000,36071428.571428575,62500000,28740000,31000000,27666666.666666668,11500000,13300000,27.5,25.2,27.9,25.142857142857142,27.5,29.6,22.666666666666668,24.666666666666668,21,29,NA,NA,NA,NA,NA,NA
Brazil,2022,37500000,22600000,26444444.444444444,36833333.333333336,60000000,24500000,56000000,15250000,32500000,13000000,28.5,24.2,27.22222222222222,24.833333333333332,28.5,30.6,22,26.5,20.5,30,NA,NA,NA,NA,NA,NA
Brazil,2023,44000000,28333333.333333332,29000000,27444444.444444444,30000000,17600000,76666666.66666667,13083333.333333334,44600000,16066666.666666666,27.333333333333332,23.166666666666668,25,22.22222222222222,25.5,26.666666666666668,23,25.333333333333332,23.6,21,7000000,22,NA,6000000,NA,20
Brazil,2024,35000000,38166666.666666664,30800000,28400000,18000000,15100000,67400000,7400000,30400000,13933333.333333334,26.5,25,25.9,22.2,21.5,30.5,23.4,27.2,23.4,25,NA,NA,NA,12000000,NA,21
Brazil,2025,40000000,35375000,29888888.888888888,29928571.42857143,18333333.333333332,13114285.714285715,83000000,11300000,48000000,9175000,27,25.5,26.666666666666668,22.428571428571427,28.666666666666668,29.285714285714285,24,27.833333333333332,21.75,24.25,NA,NA,NA,NA,NA,NA
Belgium,2018,59833333.333333336,22800000,11955555.555555556,35000000,18000000,20750000,40000000,6000000,10000000,24000000,26.666666666666668,28,29.666666666666668,25.75,26.333333333333332,28,26,24,27.5,25,25000000,32,NA,NA,NA,NA
Belgium,2019,49750000,21500000,12750000,29600000,27500000,17770000,49000000,NA,15000000,20000000,23.75,22.5,27.75,25,26,25.6,26.25,NA,23,25,30000000,31,NA,NA,NA,NA
Belgium,2020,44500000,39500000,12355555.555555556,27200000,27500000,11212500,36000000,500000,21000000,18666666.666666668,23.4,23.5,26.11111111111111,25.4,27,25.625,25.2,25,22,25.666666666666668,25000000,32,NA,7000000,NA,20
Belgium,2021,38500000,27333333.333333332,8933333.333333334,25600000,24500000,20800000,25400000,NA,14500000,15833333.333333334,24.4,23.333333333333332,27.11111111111111,26.2,28,28.8,26.2,NA,24,26.666666666666668,15000000,33,NA,18000000,NA,21
Belgium,2022,23300000,15666666.666666666,8000000,16500000,20250000,11150000,23250000,NA,9000000,11666666.666666666,27,26,27.6,27.833333333333332,27,31.166666666666668,27.5,NA,26.5,28.666666666666668,3000000,36,NA,15000000,NA,24
Belgium,2023,33250000,20000000,8512500,25666666.666666668,16083333.333333334,16500000,26000000,1200000,8250000,12500000,26.25,24.333333333333332,22.875,26.666666666666668,21.166666666666668,28.8,25.666666666666668,22,22,26,NA,NA,NA,15000000,NA,23
Belgium,2024,27500000,16250000,14812500,19550000,20800000,4216666.666666667,21916666.666666668,9500000,19333333.333333332,6666666.666666667,29,24,25.5,27,25.8,29.333333333333332,24,24.5,24.666666666666668,28.333333333333332,NA,NA,NA,17000000,NA,26
Belgium,2025,26333333.333333332,20000000,14833333.333333334,24000000,14100000,9900000,38333333.333333336,9500000,20000000,8500000,29.333333333333332,27,24.333333333333332,26.5,24.6,25.4,23.666666666666668,21.5,27,31,NA,NA,6000000,12000000,20,25
Tunisia,2018,766666.6666666666,755000,672727.2727272727,825000,1260000,670000,4375000,433333.3333333333,787500,600000,24.333333333333332,22.6,25.818181818181817,26.375,25,27,25.5,24.666666666666668,20.5,23,NA,NA,NA,NA,NA,NA
Tunisia,2019,912500,793750,1051785.7142857143,846428.5714285715,1675000,625000,3190000,1062500,883333.3333333334,1116666.6666666667,25.333333333333332,23.5,27.357142857142858,27,26.666666666666668,28.666666666666668,26.6,27.5,24.666666666666668,25,NA,NA,NA,462500,NA,30.5
Tunisia,2020,1350000,866666.6666666666,2158333.3333333335,300000,3650000,806250,7500000,1200000,NA,1650000,24.666666666666668,21.666666666666668,23,26,25.333333333333332,26.75,28,27,NA,23.5,NA,NA,NA,NA,NA,NA
Tunisia,2021,1087500,815625,1280000,640000,3950000,585714.2857142857,3300000,750000,NA,1150000,27.25,22.375,25.1,25.8,26.5,28,26.25,27.333333333333332,NA,24.5,NA,NA,NA,NA,NA,NA
Tunisia,2022,2725000,1481250,1377500,750000,13000000,542857.1428571428,2850000,900000,NA,1533333.3333333333,24,23.375,25.2,30.5,26,28.714285714285715,27.8,27.25,NA,24.333333333333332,NA,NA,300000,NA,21,NA
