country,year,attacking_midfield_market_value,central_midfield_market_value,centre-back_market_value,centre-forward_market_value,defensive_midfield_market_value,goalkeeper_market_value,left_winger_market_value,left-back_market_value,right_winger_market_value,right-back_market_value,second_striker_market_value,attacking_midfield_age,central_midfield_age,centre-back_age,centre-forward_age,defensive_midfield_age,goalkeeper_age,left_winger_age,left-back_age,right_winger_age,right-back_age,second_striker_age,right_midfield_market_value,right_midfield_age,left_midfield_market_value,left_midfield_age,striker_market_value,striker_age,midfielder_market_value,midfielder_age
Montenegro,2022,NA,500000,1475000,1158333.3333333333,565000,810000,1550000,1075000,300000,3033333.3333333335,1500000,NA,26.4,29.555555555555557,26.88888888888889,29.6,29.8,24.25,28.5,26,30.333333333333332,33,NA,NA,NA,NA,NA,NA,NA,NA
Montenegro,2023,NA,485714.28571428574,2260714.285714286,1620000,516666.6666666667,578125,1737500,1000000,1000000,2237500,2000000,NA,27.428571428571427,27.285714285714285,25.2,26.666666666666668,26.75,23.5,28,20,28,33,NA,NA,NA,NA,NA,NA,NA,NA
Montenegro,2024,475000,525000,1133333.3333333333,3740000,1150000,506250,668750,600000,1500000,1333333.3333333333,400000,24.5,28.5,28.666666666666668,25.8,27.5,29.5,27.25,26.5,22,32.333333333333336,35,NA,NA,NA,NA,NA,NA,NA,NA
Montenegro,2025,875000,379166.6666666667,1291666.6666666667,2850000,1500000,370000,1383333.3333333333,575000,1700000,1175000,500000,21,25.666666666666668,27.666666666666668,27,28,30.2,23,24.4,22,28.75,35,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2018,NA,125000,115000,62500,100000,75000,125000,NA,NA,87500,NA,NA,31,29,37.5,24,34.5,31,NA,NA,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2019,NA,NA,108333.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.333333333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2020,50000,50000,89285.71428571429,91666.66666666667,100000,58333.333333333336,143750,50000,100000,87500,NA,36,27.666666666666668,27.142857142857142,27,26,25.666666666666668,30.5,23,26.5,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2021,NA,25000,96428.57142857143,66666.66666666667,100000,62500,100000,50000,50000,66666.66666666667,NA,NA,24,27.857142857142858,26,26,27,30.5,22,22,26.666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2022,10000,100000,72857.14285714286,102500,150000,255000,10000,112500,200000,150000,NA,38,30.333333333333332,30.428571428571427,26.75,28,29,30,30,24,28.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2023,10000,125000,75000,87500,150000,255000,NA,75000,200000,143750,NA,37.5,28,30.4,26,28,29,NA,26.333333333333332,24,27.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2024,10000,112500,143750,216666.66666666666,133333.33333333334,290000,100000,141666.66666666666,100000,133333.33333333334,NA,42,28.25,28,25.666666666666668,24.666666666666668,27.75,27,29.333333333333332,26,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2025,10000,200000,137500,160000,116666.66666666667,265000,80000,150000,100000,100000,NA,42,28,27.5,26,24.666666666666668,30.25,31.5,28.333333333333332,26,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malta,2018,216666.66666666666,233333.33333333334,145833.33333333334,137500,175000,200000,187500,133333.33333333334,150000,162500,NA,34.666666666666664,23.333333333333332,27.833333333333332,30,28.666666666666668,30.666666666666668,24,25.666666666666668,22.666666666666668,27.5,NA,137500,26.5,175000,32,NA,NA,75000,37
Malta,2019,NA,191666.66666666666,157142.85714285713,160000,191666.66666666666,143750,200000,150000,200000,125000,NA,NA,21.666666666666668,26.571428571428573,28.2,24,32.25,25,28,21,25.5,NA,125000,28.5,225000,32,75000,28,NA,NA
Malta,2020,175000,375000,208333.33333333334,195000,241666.66666666666,187500,237500,200000,241666.66666666666,225000,NA,22,24.25,27.666666666666668,27.2,26.666666666666668,26.25,26,22.5,22,26,NA,200000,30,200000,26,NA,NA,NA,NA
Malta,2021,137500,295833.3333333333,183333.33333333334,200000,241666.66666666666,181250,225000,NA,206250,108333.33333333333,NA,22,24.166666666666668,27.22222222222222,23.75,26,26.5,25.5,NA,21.75,23,NA,225000,29,200000,26,NA,NA,NA,NA
Malta,2022,300000,950000,206250,233333.33333333334,218750,150000,225000,NA,231250,308333.3333333333,NA,24,26.571428571428573,29.75,24.333333333333332,28,27.75,25.666666666666668,NA,24.25,25.333333333333332,NA,NA,NA,300000,28,NA,NA,NA,NA
Malta,2023,250000,875000,250000,183333.33333333334,300000,100000,350000,NA,262500,291666.6666666667,NA,26.5,26.333333333333332,28,24.333333333333332,26.5,25.6,26,NA,24,24.666666666666668,NA,NA,NA,250000,28,NA,NA,NA,NA
Malta,2024,165000,575000,234375,262500,425000,116666.66666666667,300000,275000,300000,283333.3333333333,NA,27,28.22222222222222,28.75,24.75,27.5,29.666666666666668,28,23,26.25,26.333333333333332,NA,NA,NA,300000,30,NA,NA,NA,NA
Malta,2025,300000,1437500,235714.2857142857,212500,650000,183333.33333333334,3000000,300000,575000,275000,NA,28.5,29.75,28.714285714285715,22.5,26,27.333333333333332,24,25,26.166666666666668,23.5,NA,NA,NA,300000,30,NA,NA,NA,NA
