country,year,attacking_midfield_market_value,central_midfield_market_value,centre-back_market_value,centre-forward_market_value,defensive_midfield_market_value,goalkeeper_market_value,left_winger_market_value,left-back_market_value,right_winger_market_value,right-back_market_value,second_striker_market_value,attacking_midfield_age,central_midfield_age,centre-back_age,centre-forward_age,defensive_midfield_age,goalkeeper_age,left_winger_age,left-back_age,right_winger_age,right-back_age,second_striker_age,right_midfield_market_value,right_midfield_age,left_midfield_market_value,left_midfield_age,striker_market_value,striker_age,midfielder_market_value,midfielder_age
Senegal,2021,NA,2262500,18970000,5640000,7783333.333333333,9025000,45666666.666666664,2337500,8233333.333333333,3700000,NA,NA,23.5,26.2,26.8,27,26.25,24,26.75,25.333333333333332,28.333333333333332,NA,20000000,21,NA,NA,NA,NA,NA,NA
Senegal,2022,NA,8000000,16333333.333333334,6616666.666666667,5440000,8460000,43500000,3250000,9433333.333333334,2333333.3333333335,NA,NA,24.25,25.833333333333332,25,28.8,27.4,27.5,24.25,21.333333333333332,28,NA,15000000,22,NA,NA,NA,NA,NA,NA
Senegal,2023,NA,7300000,12166666.666666666,9450000,3016666.6666666665,6250000,16950000,3800000,9700000,2500000,NA,NA,22.5,25.666666666666668,24,25.666666666666668,27.8,23.25,25.666666666666668,21.666666666666668,26,NA,13000000,23,NA,NA,NA,NA,NA,NA
Senegal,2024,50000,11916666.666666666,5912500,15000000,2920000,3875000,9666666.666666666,4100000,19000000,NA,NA,19,22.333333333333332,24.75,25.4,28,30,25.666666666666668,23,24,NA,NA,12000000,24,NA,NA,NA,NA,NA,NA
Senegal,2025,NA,16250000,5957142.857142857,20500000,2450000,5333333.333333333,7750000,9000000,13333333.333333334,3000000,NA,NA,23.333333333333332,26.285714285714285,27,26.8,29.333333333333332,24.75,22.333333333333332,22,21,NA,10000000,25,NA,NA,NA,NA,NA,NA
Panama,2018,400000,325000,358333.3333333333,435714.28571428574,400000,250000,266666.6666666667,316666.6666666667,300000,500000,400000,24,27,27.833333333333332,29.571428571428573,25,30.25,21.333333333333332,25.333333333333332,27,21,26,25000,21,NA,NA,NA,NA,NA,NA
Panama,2019,125000,150000,268750,306250,266666.6666666667,350000,375000,256250,558333.3333333334,1562500,300000,19,25.25,28,27.75,25,29.333333333333332,24,26.25,27.666666666666668,23,29,NA,NA,NA,NA,NA,NA,NA,NA
Panama,2020,200000,150000,325000,297500,175000,183333.33333333334,250000,NA,612500,1100000,NA,25,24.75,24.25,26,22.666666666666668,27.333333333333332,26,NA,25,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panama,2021,158333.33333333334,350000,325000,437500,285000,356250,306250,400000,750000,2250000,NA,23.666666666666668,27.666666666666668,26.875,26.625,23.6,28.5,24,25.5,30,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panama,2022,100000,295000,301923.07692307694,341818.1818181818,235714.2857142857,214285.7142857143,259375,225000,432000,660714.2857142857,NA,24,25.4,24.692307692307693,25.363636363636363,24.571428571428573,30.428571428571427,22.5,23.666666666666668,25.6,24.285714285714285,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panama,2023,162500,685000,434090.9090909091,290000,187500,201428.57142857142,427777.77777777775,190000,562500,795000,NA,25,23.4,25.636363636363637,24.8,24,25.428571428571427,24.333333333333332,23.8,28,25,NA,NA,NA,10000,20,NA,NA,NA,NA
Panama,2024,NA,2525000,842857.1428571428,540000,231250,275000,620833.3333333334,212500,466666.6666666667,1308333.3333333333,NA,NA,28,25.142857142857142,27.6,26.5,29.75,24.666666666666668,28.5,31,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panama,2025,150000,2337500,1246428.5714285714,708571.4285714285,292857.14285714284,260000,639285.7142857143,181250,450000,1950000,NA,20.5,25,24,25.714285714285715,26.428571428571427,29.8,24.714285714285715,26.25,32,24.6,NA,NA,NA,125000,22,NA,NA,NA,NA
Colombia,2018,12930000,1500000,6516666.666666667,10642857.142857144,1797777.7777777778,1850000,4866666.666666667,1535000,2500000,4600000,NA,25.2,26,25.22222222222222,25.285714285714285,25.77777777777778,26.4,22,26.6,26,24.5,NA,28000000,29,NA,NA,NA,NA,NA,NA
Colombia,2019,34000000,NA,13757142.857142856,9458333.333333334,9760000,1841666.6666666667,2300000,2975000,2250000,6625000,NA,26.5,NA,26,25.833333333333332,24.8,25.833333333333332,22.8,25.75,27,25,NA,25000000,30,1500000,23,NA,NA,NA,NA
Colombia,2020,22500000,2500000,20800000,14916666.666666666,11760000,1700000,11000000,2433333.3333333335,NA,5237500,NA,27.5,21,25,26.666666666666668,25.6,27.5,22,25.666666666666668,NA,25.25,NA,18000000,31,NA,NA,NA,NA,NA,NA
Colombia,2021,15400000,975000,11371428.57142857,11965625,6468750,1975000,6787500,2116666.6666666665,2200000,2343750,NA,28,26,26.142857142857142,27.375,27.875,28.6,23.75,28.333333333333332,26.5,26.25,NA,18000000,32,8500000,25,NA,NA,NA,NA
Colombia,2022,8875000,5750000,8988888.888888888,7550000,6222727.2727272725,1742857.142857143,14225000,2000000,2033333.3333333333,3041666.6666666665,NA,26,23.5,27.22222222222222,26.11111111111111,26.454545454545453,29.714285714285715,24.5,27.666666666666668,23.666666666666668,26,NA,10000000,33,7500000,26,NA,NA,NA,NA
Colombia,2023,4550000,1066666.6666666667,6677272.7272727275,6633333.333333333,7164285.714285715,1853571.4285714286,13881250,1907142.857142857,4000000,4000000,NA,30,23,24.454545454545453,26.666666666666668,25.857142857142858,27.428571428571427,21.375,25.857142857142858,22.8,25.333333333333332,NA,5000000,34,NA,NA,NA,NA,NA,NA
Colombia,2024,4500000,2066666.6666666667,7750000,9214285.714285715,8000000,2600000,31833333.333333332,2340000,8000000,4666666.666666667,NA,29,24,25.333333333333332,26.714285714285715,26.75,30,23.666666666666668,27.8,23,28.666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,2025,4000000,2450000,9833333.333333334,14183333.333333334,11333333.333333334,2775000,24500000,2225000,9500000,9533333.333333334,NA,30,26.333333333333332,26.333333333333332,28.666666666666668,26,31,24.5,30.25,24.25,29.666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palestine,2018,150000,183333.33333333334,117857.14285714286,131250,200000,100000,NA,150000,62500,100000,NA,27,25.333333333333332,28.142857142857142,25.5,27,25,NA,28.5,23.5,24,NA,NA,NA,NA,NA,25000,26,NA,NA
Palestine,2019,175000,200000,87500,275000,200000,100000,NA,100000,158333.33333333334,100000,NA,29,28,29.5,25.8,30,26.666666666666668,NA,27,26.333333333333332,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
