date,home_team,away_team,home_team_last_5_games,away_team_last_5_games,home_elo_rating,away_elo_rating,result
2018-10-10,Albania,Jordan,4,6,1608,1482,tie
2018-10-10,Italy,Ukraine,3,11,1905,1738,tie
2018-10-11,Poland,Portugal,5,8,1841,1993,lose
2018-10-11,Russia,Sweden,9,4,1696,1823,tie
2018-10-11,Montenegro,Serbia,5,7,1612,1783,lose
2018-10-11,Lithuania,Romania,0,11,1406,1687,lose
2018-10-11,Faroe Islands,Azerbaijan,7,8,1280,1400,lose
2018-10-11,Kosovo,Malta,13,2,1371,1214,win
2018-10-11,Argentina,Iraq,10,6,1984,1573,win
2018-10-11,Bahrain,Syria,6,6,1420,1610,lose
2018-10-11,France,Iceland,11,1,1988,1811,tie
2018-10-11,Mexico,Costa Rica,3,1,1847,1744,win
2018-10-11,Turkey,Bosnia and Herzegovina,6,11,1711,1723,tie
2018-10-11,United States,Colombia,4,11,1751,1926,lose
2018-10-11,Wales,Spain,4,11,1764,2030,lose
2018-10-12,Belgium,Switzerland,12,4,1926,1865,win
2018-10-12,Croatia,England,5,4,1855,1932,tie
2018-10-12,Austria,Northern Ireland,9,4,1711,1674,win
2018-10-12,Estonia,Finland,0,12,1506,1594,lose
2018-10-12,Greece,Hungary,9,4,1660,1611,win
2018-10-12,Belarus,Luxembourg,8,10,1496,1321,win
2018-10-12,Japan,Panama,7,0,1706,1670,win
2018-10-12,South Korea,Uruguay,10,9,1760,1865,win
2018-10-12,Peru,Chile,6,5,1881,1859,win
2018-10-12,Saudi Arabia,Brazil,4,12,1570,2113,lose
2018-10-12,Singapore,Mongolia,10,7,1058,656,win
2018-10-13,Netherlands,Germany,8,7,1894,2108,win
2018-10-13,Slovakia,Czech Republic,4,6,1747,1712,lose
2018-10-13,Norway,Slovenia,12,3,1581,1639,win
2018-10-13,Bulgaria,Cyprus,12,4,1620,1409,win
2018-10-13,Latvia,Kazakhstan,3,5,1362,1339,tie
2018-10-13,Georgia,Andorra,12,4,1481,1012,win
2018-10-13,Myanmar,Bolivia,3,5,1096,1706,lose
2018-10-13,Morocco,Comoros,7,2,1688,1042,win
2018-10-13,South Africa,Seychelles,11,2,1541,938,win
2018-10-13,Burkina Faso,Botswana,9,6,1602,1253,win
2018-10-13,Mozambique,Namibia,7,5,1312,1381,lose
2018-10-13,Uganda,Lesotho,5,8,1457,1266,win
2018-10-14,Poland,Italy,5,6,1841,1905,lose
2018-10-14,Russia,Turkey,11,5,1696,1711,win
2018-10-14,Israel,Albania,6,4,1533,1608,win
2018-10-14,Romania,Serbia,9,8,1687,1783,tie
2018-10-14,Lithuania,Montenegro,0,7,1406,1612,lose
2018-10-14,Faroe Islands,Kosovo,7,11,1280,1371,tie
2018-10-14,Azerbaijan,Malta,9,2,1400,1214,tie
2018-10-14,Scotland,Portugal,3,10,1719,1993,lose
2018-10-14,Thailand,Trinidad and Tobago,7,7,1408,1419,win
2018-10-15,Iceland,Switzerland,1,6,1811,1865,lose
2018-10-15,Spain,England,10,7,2030,1932,lose
2018-10-15,Bosnia and Herzegovina,Northern Ireland,13,3,1723,1674,win
2018-10-15,Estonia,Hungary,1,4,1506,1611,tie
2018-10-15,Finland,Greece,15,6,1594,1660,win
2018-10-15,Belarus,Moldova,8,6,1496,1330,tie
2018-10-15,Croatia,Jordan,5,5,1855,1482,win
2018-10-15,Kuwait,Australia,8,7,1426,1729,lose
2018-10-15,Saudi Arabia,Iraq,5,6,1570,1573,tie
2018-10-16,France,Germany,11,4,1988,2108,win
2018-10-16,Ukraine,Czech Republic,13,6,1738,1712,win
2018-10-16,Norway,Bulgaria,12,12,1581,1620,win
2018-10-16,Slovenia,Cyprus,4,4,1639,1409,tie
2018-10-16,Kazakhstan,Andorra,8,3,1339,1012,win
2018-10-16,Latvia,Georgia,2,12,1362,1481,lose
2018-10-16,Gibraltar,Liechtenstein,9,3,1078,1167,win
2018-10-16,Bahrain,Myanmar,8,3,1420,1096,win
2018-10-16,Belgium,Netherlands,13,8,1926,1894,tie
2018-10-16,Cambodia,Singapore,4,10,814,1058,lose
2018-10-16,Colombia,Costa Rica,11,1,1926,1744,win
2018-10-16,Denmark,Austria,8,6,1840,1711,win
2018-10-16,Iran,Bolivia,10,5,1800,1706,win
2018-10-16,Japan,Uruguay,9,6,1706,1865,win
2018-10-16,South Korea,Panama,11,1,1760,1670,tie
2018-10-16,Malaysia,Kyrgyzstan,9,10,1066,1211,lose
2018-10-16,Mexico,Chile,3,8,1847,1859,lose
2018-10-16,Sweden,Slovakia,2,4,1823,1747,tie
2018-10-16,United States,Peru,5,7,1751,1881,tie
2018-10-16,Uzbekistan,Qatar,7,10,1611,1455,win
2018-10-16,Malawi,Cameroon,2,8,1300,1644,tie
2018-10-16,Seychelles,South Africa,2,11,938,1541,tie
2018-10-16,Central African Republic,Ivory Coast,5,11,1293,1601,tie
2018-10-16,Tanzania,Cape Verde,7,8,1294,1424,win
2018-10-16,Argentina,Brazil,7,12,1984,2113,lose
2018-10-16,Comoros,Morocco,2,8,1042,1688,tie
2018-10-16,Zimbabwe,DR Congo,9,3,1461,1601,tie
2018-10-16,Botswana,Burkina Faso,4,7,1253,1602,tie
2018-10-16,Niger,Tunisia,4,12,1293,1618,lose
2018-10-16,Namibia,Mozambique,7,7,1381,1312,win
2018-10-16,Lesotho,Uganda,5,7,1266,1457,lose
2018-11-03,Malaysia,Maldives,9,7,1066,944,win
2018-11-08,Cambodia,Malaysia,1,12,814,1066,lose
2018-11-09,Singapore,Indonesia,13,7,1058,1237,win
2018-11-12,Myanmar,Cambodia,3,1,1096,814,win
2018-11-12,Malaysia,Laos,12,1,1066,785,win
2018-11-13,Philippines,Singapore,11,12,1163,1058,win
2018-11-13,Taiwan,Mongolia,6,4,978,656,win
2018-11-14,Switzerland,Qatar,6,12,1865,1455,lose
2018-11-15,Belgium,Iceland,13,1,1926,1811,win
2018-11-15,Croatia,Spain,8,9,1855,2030,win
2018-11-15,Austria,Bosnia and Herzegovina,7,11,1711,1723,tie
2018-11-15,Hungary,Estonia,7,1,1611,1506,win
2018-11-15,Greece,Finland,9,12,1660,1594,win
2018-11-15,Andorra,Georgia,3,13,1012,1481,tie
2018-11-15,Kazakhstan,Latvia,6,3,1339,1362,tie
2018-11-15,Luxembourg,Belarus,9,11,1321,1496,lose
2018-11-15,San Marino,Moldova,0,8,852,1330,lose
2018-11-15,England,United States,10,4,1932,1751,win
2018-11-15,Germany,Russia,7,10,2108,1696,win
2018-11-15,Iran,Trinidad and Tobago,10,4,1800,1419,win
2018-11-15,Israel,Guatemala,9,6,1533,1511,win
2018-11-15,Peru,Ecuador,4,10,1881,1747,lose
2018-11-15,Poland,Czech Republic,2,6,1841,1712,lose
2018-11-15,Uzbekistan,Lebanon,8,8,1611,1456,tie
2018-11-16,Netherlands,France,10,8,1894,1988,win
2018-11-16,Slovakia,Ukraine,7,10,1747,1738,win
2018-11-16,Wales,Denmark,6,10,1764,1840,lose
2018-11-16,Slovenia,Norway,2,10,1639,1581,tie
2018-11-16,Cyprus,Bulgaria,5,10,1409,1620,tie
2018-11-16,Gibraltar,Armenia,6,9,1078,1480,lose
2018-11-16,Argentina,Mexico,10,3,1984,1847,win
2018-11-16,Brazil,Uruguay,15,3,2113,1865,win
2018-11-16,Chile,Costa Rica,5,3,1859,1744,lose
2018-11-16,Japan,Venezuela,10,7,1706,1738,tie
2018-11-16,Oman,Syria,5,5,1516,1610,tie
2018-11-16,Palestine,Pakistan,4,6,1411,952,win
2018-11-16,United Arab Emirates,Bolivia,5,5,1563,1706,tie
2018-11-16,Laos,Myanmar,0,6,785,1096,lose
2018-11-16,Morocco,Cameroon,11,5,1688,1644,win
2018-11-16,Egypt,Tunisia,12,12,1650,1618,win
2018-11-16,Taiwan,North Korea,6,10,978,1450,lose
2018-11-16,Mongolia,Hong Kong,3,8,656,1194,lose
2018-11-16,Grenada,Saint Martin,3,3,1109,864,win
2018-11-16,Bermuda,El Salvador,7,9,1196,1455,win
2018-11-17,Italy,Portugal,6,11,1905,1993,tie
2018-11-17,Turkey,Sweden,4,5,1711,1823,lose
2018-11-17,Albania,Scotland,4,6,1608,1719,lose
2018-11-17,Serbia,Montenegro,11,7,1783,1612,win
2018-11-17,Romania,Lithuania,9,0,1687,1406,win
2018-11-17,Malta,Kosovo,2,11,1214,1371,lose
2018-11-17,Azerbaijan,Faroe Islands,9,4,1400,1280,win
2018-11-17,Australia,South Korea,5,9,1729,1760,tie
2018-11-17,Jordan,India,5,7,1482,1163,win
2018-11-17,Thailand,Indonesia,12,7,1408,1237,win
2018-11-17,Equatorial Guinea,Senegal,3,10,1330,1747,lose
2018-11-17,Namibia,Guinea-Bissau,8,5,1381,1289,tie
2018-11-17,Uganda,Cape Verde,10,5,1457,1424,win
2018-11-17,Cuba,Dominican Republic,13,12,1307,1249,win
2018-11-17,Comoros,Malawi,5,1,1042,1300,win
2018-11-17,Gabon,Mali,7,9,1411,1511,lose
